[header]
width=20
height=15
tilewidth=16
tileheight=16

[tilesets]
tileset=images/Terrain/Terrain (16x16).png,16,16,0,0

[layer]
type=Calque de Tile 1
data=
135,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,133,
113,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,16,111,
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,111,
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,111,
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,
113,0,0,101,103,123,101,102,103,123,0,0,0,0,0,0,0,0,0,111,
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,
113,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,111,
113,0,0,0,0,7,8,8,8,9,183,184,185,0,0,0,0,0,0,111,
113,0,0,0,0,29,30,30,30,31,206,206,207,0,0,0,0,0,0,111,
113,7,8,8,8,33,30,30,30,16,206,206,208,184,184,185,0,0,0,111,
113,29,30,30,30,30,30,30,35,38,206,206,206,206,36,37,0,0,0,111,
113,51,52,52,52,52,13,14,15,60,228,228,228,228,58,59,0,0,35,111,
91,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,89

